0_ECDF Percentile Count_0,0_ECDF Percentile Count_1,0_ECDF Percentile_0,0_ECDF Percentile_1,0_ECDF_0,0_ECDF_1,0_ECDF_2,0_ECDF_3,0_ECDF_4,0_ECDF_5,0_ECDF_6,0_ECDF_7,0_ECDF_8,0_ECDF_9,0_Histogram_0,0_Histogram_1,0_Histogram_2,0_Histogram_3,0_Histogram_4,0_Histogram_5,0_Histogram_6,0_Histogram_7,0_Histogram_8,0_Histogram_9,0_Interquartile range,0_Kurtosis,0_Max,0_Mean,0_Mean absolute deviation,0_Median,0_Median absolute deviation,0_Min,0_Root mean square,0_Skewness,0_Standard deviation,0_Variance,1_ECDF Percentile Count_0,1_ECDF Percentile Count_1,1_ECDF Percentile_0,1_ECDF Percentile_1,1_ECDF_0,1_ECDF_1,1_ECDF_2,1_ECDF_3,1_ECDF_4,1_ECDF_5,1_ECDF_6,1_ECDF_7,1_ECDF_8,1_ECDF_9,1_Histogram_0,1_Histogram_1,1_Histogram_2,1_Histogram_3,1_Histogram_4,1_Histogram_5,1_Histogram_6,1_Histogram_7,1_Histogram_8,1_Histogram_9,1_Interquartile range,1_Kurtosis,1_Max,1_Mean,1_Mean absolute deviation,1_Median,1_Median absolute deviation,1_Min,1_Root mean square,1_Skewness,1_Standard deviation,1_Variance,state
200.0,800.0,56446.0,57193.0,0.001,0.002,0.003,0.004,0.005,0.006,0.007,0.008,0.009,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,654.5,-0.9996686713936409,57626.0,56831.322,366.78613600000193,56852.5,341.0,56022.0,56832.893630132894,-0.0030990609724909192,422.6560141722817,178638.10631599996,200.0,800.0,57194.0,58072.0,0.001,0.002,0.003,0.004,0.005,0.006,0.007,0.008,0.009,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,776.0,-1.121417990851408,58399.0,57622.942,368.2015919999989,57523.0,355.0,56789.0,57624.52118171569,0.1185652651219457,426.6106968138518,181996.68663600017,rest_pressure
200.0,800.0,56452.0,57128.0,0.001,0.002,0.003,0.004,0.005,0.006,0.007,0.008,0.009,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,583.0,-1.3261885892960916,57502.0,56875.664,334.55120000000176,56982.0,446.5,56378.0,56876.92541869682,0.1507954102773241,378.80026808860646,143489.64310400013,200.0,800.0,57220.0,58126.0,0.001,0.002,0.003,0.004,0.005,0.006,0.007,0.008,0.009,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,686.0,-1.610958543452286,58190.0,57654.392,365.0983999999988,57483.5,334.5,57093.0,57655.718606812974,0.16458807088542196,391.1153005649355,152971.17833599984,rest_pressure
200.0,800.0,56573.0,57254.0,0.001,0.002,0.003,0.004,0.005,0.006,0.007,0.008,0.009,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,641.5,-1.29700453159198,57592.0,56986.658,321.7031440000005,57007.0,351.5,56466.0,56987.890005491514,0.21009455104097394,374.72292301912864,140417.2690359998,200.0,800.0,57308.0,58198.0,0.001,0.002,0.003,0.004,0.005,0.006,0.007,0.008,0.009,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,745.25,-1.6509640547487363,58236.0,57748.122,354.9143999999991,57667.0,396.0,57186.0,57749.397933779364,0.10421003261107589,383.8843408059253,147367.1871159998,rest_pressure
200.0,800.0,56618.0,57329.0,0.001,0.002,0.003,0.004,0.005,0.006,0.007,0.008,0.009,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,590.5,-1.3370049086570344,57631.0,57027.308,326.5129759999995,56996.0,296.0,56512.0,57028.53961254838,0.23690811276860602,374.7967624406593,140472.61313599997,200.0,800.0,57371.0,58227.0,0.001,0.002,0.003,0.004,0.005,0.006,0.007,0.008,0.009,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,751.75,-1.6593326796205157,58299.0,57792.626,344.95119999999815,57732.0,417.0,57278.0,57793.8616126834,0.07174467510050281,377.9155065937363,142820.13012400037,rest_pressure
200.0,800.0,56586.0,57334.0,0.001,0.002,0.003,0.004,0.005,0.006,0.007,0.008,0.009,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,600.25,-1.3638020055707254,57606.0,57004.964,335.46079999999984,56936.5,343.5,56489.0,57006.215280967386,0.24538876468710524,377.70361224642784,142660.0187039999,200.0,800.0,57362.0,58176.0,0.001,0.002,0.003,0.004,0.005,0.006,0.007,0.008,0.009,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,735.25,-1.6396167022593362,58295.0,57774.02,338.69519999999875,57741.5,394.0,57256.0,57775.24320277674,0.05563472677856541,375.9523634717568,141340.17959999997,rest_pressure
200.0,800.0,56563.0,57344.0,0.001,0.002,0.003,0.004,0.005,0.006,0.007,0.008,0.009,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,611.0,-1.400028752404551,57589.0,57008.896,342.9032000000013,56910.0,370.0,56463.0,57010.160694914724,0.24612205939714543,379.7358571217628,144199.32118399988,200.0,800.0,57359.0,58143.0,0.001,0.002,0.003,0.004,0.005,0.006,0.007,0.008,0.009,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,708.25,-1.6021777802393158,58299.0,57779.582,331.28665599999994,57779.0,357.0,57261.0,57780.77916350731,0.04682215190255168,371.94710279285675,138344.64727599995,rest_pressure
200.0,800.0,56544.0,57350.0,0.001,0.002,0.003,0.004,0.005,0.006,0.007,0.008,0.009,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,610.25,-1.4539469819023636,57574.0,56979.574,352.94880000000035,56839.0,350.5,56430.0,56980.87285717901,0.23823031700807917,384.73152265443474,148018.3445239998,200.0,800.0,57345.0,58096.0,0.001,0.002,0.003,0.004,0.005,0.006,0.007,0.008,0.009,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,687.0,-1.5413995350873266,58305.0,57758.698,329.2719840000008,57791.0,408.5,57270.0,57759.882721297145,0.05229462574828187,369.94232360734304,136857.32279600014,rest_pressure
200.0,800.0,56492.0,57338.0,0.001,0.002,0.003,0.004,0.005,0.006,0.007,0.008,0.009,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,614.5,-1.5186699907815409,57522.0,56940.398,362.2335999999983,56758.5,316.5,56395.0,56941.73408811853,0.21931688923426454,390.0725106899999,152156.56359600008,200.0,800.0,57305.0,57991.0,0.001,0.002,0.003,0.004,0.005,0.006,0.007,0.008,0.009,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,644.25,-1.45970363868284,58281.0,57720.15,330.1959999999997,57800.0,443.0,57248.0,57721.32709314643,0.0769184531425052,368.62633044859973,135885.37150000024,rest_pressure
200.0,800.0,56496.0,57379.0,0.001,0.002,0.003,0.004,0.005,0.006,0.007,0.008,0.009,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,644.25,-1.5605111450333429,57514.0,56957.32,365.10800000000114,56772.0,311.0,56390.0,56958.66457353086,0.19876528461196116,391.3673691047836,153168.41759999993,200.0,800.0,57323.0,57946.0,0.001,0.002,0.003,0.004,0.005,0.006,0.007,0.008,0.009,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,594.75,-1.3986189095623813,58298.0,57729.504,327.7511999999981,57839.0,437.5,57257.0,57730.66629748872,0.1042902285784993,366.33190686043173,134199.06598400002,rest_pressure
200.0,800.0,56533.0,57405.0,0.001,0.002,0.003,0.004,0.005,0.006,0.007,0.008,0.009,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,646.0,-1.5702856937990775,57539.0,56968.686,364.57119999999844,56790.0,331.0,56417.0,56970.025800994685,0.18972458468935577,390.71114573812696,152655.1994039999,200.0,800.0,57323.0,57946.0,0.001,0.002,0.003,0.004,0.005,0.006,0.007,0.008,0.009,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,570.5,-1.3782069558582437,58313.0,57734.276,325.77279999999865,57847.0,428.5,57273.0,57735.42853874041,0.11382061582111067,364.8058494925757,133083.30782399978,rest_pressure
